file_path,source,augmentation,class_label
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9654-CR3dcaa68-000030_aug_1.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a9654-CR3dcaa68-000030_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca81e-CR3dcaae8-000024_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca81e-CR3dcaae8-000024_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca81e-CR3dcaae8-000024_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca81e-CR3dcaae8-000024_aug_2.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95dc-CR3dcadaa-000050_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95dc-CR3dcadaa-000050_aug_0.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95dc-CR3dcadaa-000050_aug_1.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95dc-CR3dcadaa-000050_aug_2.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb8bb-000067_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb8bb-000067_aug_0.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb8bb-000067_aug_1.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a95c3-CR3dcb8bb-000067_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca6bf-CR3dca8ac-000112_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca6bf-CR3dca8ac-000112_aug_0.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca6bf-CR3dca8ac-000112_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca6bf-CR3dca8ac-000112_aug_2.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a965f-CR32a9880-000079_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a965f-CR32a9880-000079_aug_0.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a965f-CR32a9880-000079_aug_1.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a965f-CR32a9880-000079_aug_2.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca77b-CR3dca9dc-000051_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca77b-CR3dca9dc-000051_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca77b-CR3dca9dc-000051_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dca77b-CR3dca9dc-000051_aug_2.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb729-000046_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb729-000046_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb729-000046_aug_1.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb729-000046_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb79d-000067_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb79d-000067_aug_0.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb79d-000067_aug_1.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb531-CR3dcb79d-000067_aug_2.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR32a9a1a-000047_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR32a9a1a-000047_aug_0.mp4,augmented,rotation_flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR32a9a1a-000047_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a971a-CR32a9a1a-000047_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a7582-000039_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a7582-000039_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a7582-000039_aug_1.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a7582-000039_aug_2.mp4,augmented,brightness_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a97af-000033_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a97af-000033_aug_0.mp4,augmented,rotation_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a97af-000033_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a97af-000033_aug_2.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb07f-CR3dcb66c-000047_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb07f-CR3dcb66c-000047_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb07f-CR3dcb66c-000047_aug_1.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR3dcb07f-CR3dcb66c-000047_aug_2.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a988d-000034_orig.mp4,real,none,real
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a988d-000034_aug_0.mp4,augmented,rotation_contrast,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a988d-000034_aug_1.mp4,augmented,flip_brightness,augmented
c3dgan/mixed_dataset/augmented_traditional/real_CR32a7555-CR32a988d-000034_aug_2.mp4,augmented,rotation_contrast,augmented
